Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
K Plus Tekući jogurt 2,8% m.m. 1 kg;2021-09-18;https://web.archive.org/web/20210918201655/https://www.konzum.hr/web/products/k-plus-tekuci-jogurt-2-8-m-m-1-kg;8,99 kn;1.19 €
K Plus Tekući jogurt 2,8% m.m. 1 kg;2022-05-16;https://web.archive.org/web/20220516221853/https://www.konzum.hr/web/products/k-plus-tekuci-jogurt-2-8-m-m-1-kg;9,99 kn;1.33 €
K Plus Tekući jogurt 2,8% m.m. 1 kg;2022-10-06;https://web.archive.org/web/20221006110650/https://www.konzum.hr/web/products/k-plus-tekuci-jogurt-2-8-m-m-1-kg;9,99 kn;1.33 €
K Plus Tekući jogurt 2,8% m.m. 1 kg;2023-01-31;https://web.archive.org/web/20230131235156/https://www.konzum.hr/web/products/k-plus-tekuci-jogurt-2-8-m-m-1-kg;1,59 €;1.59 €
K Plus Tekući jogurt 2,8% m.m. 1 kg;2023-12-01;https://web.archive.org/web/20231201201724/https://www.konzum.hr/web/products/k-plus-tekuci-jogurt-2-8-m-m-1-kg;1,59 €;1.59 €
K Plus Tekući jogurt 2,8% m.m. 1 kg;2024-06-17;https://web.archive.org/web/20240617141325/https://www.konzum.hr/web/products/k-plus-tekuci-jogurt-2-8-m-m-1-kg;1,59 €;1.59 €
K Plus Tekući jogurt 2,8% m.m. 1 kg;2024-09-14;https://web.archive.org/web/20240914045739/https://www.konzum.hr/web/products/k-plus-tekuci-jogurt-2-8-m-m-1-kg;1,59 €;1.59 €
K Plus Tekući jogurt 2,8% m.m. 1 kg;2025-01-15;https://web.archive.org/web/20250115093932/https://www.konzum.hr/web/products/k-plus-tekuci-jogurt-2-8-m-m-1-kg;1,65 €;1.65 €
K Plus Tekući jogurt 2,8% m.m. 1 kg;2025-01-30;https://web.archive.org/web/20250130235722/https://www.konzum.hr/web/products/k-plus-tekuci-jogurt-2-8-m-m-1-kg;1,65 €;1.65 €
K Plus Tekući jogurt 2,8% m.m. 1 kg;2025-02-10;https://web.archive.org/web/20250210133057/https://www.konzum.hr/web/products/k-plus-tekuci-jogurt-2-8-m-m-1-kg;1,65 €;1.65 €
K Plus Tekući jogurt 2,8% m.m. 1 kg;2025-03-12;https://web.archive.org/web/20250312200005/https://www.konzum.hr/web/products/k-plus-tekuci-jogurt-2-8-m-m-1-kg;1,65 €;1.65 €
