Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Franck Čaj jabuka i cimet 60 g;2021-01-24;https://web.archive.org/web/20210124185752/https://www.konzum.hr/web/products/franck-caj-jabuka-i-cimet-60-g;14,99 kn;1.99 €
Franck Čaj jabuka i cimet 60 g;2021-04-13;https://web.archive.org/web/20210413195445/https://www.konzum.hr/web/products/franck-caj-jabuka-i-cimet-60-g;14,99 kn;1.99 €
Franck Čaj jabuka i cimet 60 g;2021-08-05;https://web.archive.org/web/20210805050809/https://www.konzum.hr/web/products/franck-caj-jabuka-i-cimet-60-g;14,99 kn;1.99 €
Franck Čaj jabuka i cimet 60 g;2022-05-18;https://web.archive.org/web/20220518002140/https://www.konzum.hr/web/products/franck-caj-jabuka-i-cimet-60-g;14,99 kn;1.99 €
Franck Čaj jabuka i cimet 60 g;2022-09-30;https://web.archive.org/web/20220930193931/https://www.konzum.hr/web/products/franck-caj-jabuka-i-cimet-60-g;15,99 kn;2.12 €
Franck Čaj jabuka i cimet 60 g;2023-01-30;https://web.archive.org/web/20230130150655/https://www.konzum.hr/web/products/franck-caj-jabuka-i-cimet-60-g;2,12 €;2.12 €
Franck Čaj jabuka i cimet 60 g;2023-12-01;https://web.archive.org/web/20231201065315/https://www.konzum.hr/web/products/franck-caj-jabuka-i-cimet-60-g;2,19 €;2.19 €
Franck Čaj jabuka i cimet 60 g;2024-02-04;https://web.archive.org/web/20240204041519/https://www.konzum.hr/web/products/franck-caj-jabuka-i-cimet-60-g;2,19 €;2.19 €
Franck Čaj jabuka i cimet 60 g;2024-05-20;https://web.archive.org/web/20240520093912/https://www.konzum.hr/web/products/franck-caj-jabuka-i-cimet-60-g;2,19 €;2.19 €
Franck Čaj jabuka i cimet 60 g;2024-08-03;https://web.archive.org/web/20240803132856/https://www.konzum.hr/web/products/franck-caj-jabuka-i-cimet-60-g;2,19 €;2.19 €
Franck Čaj jabuka i cimet 60 g;2024-12-06;https://web.archive.org/web/20241206141536/https://www.konzum.hr/web/products/franck-caj-jabuka-i-cimet-60-g;2,49 €;2.49 €
