Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Mrkva;2020-09-20;https://web.archive.org/web/20200920212759/https://www.konzum.hr/web/products/mrkva;6,99 kn;0.93 €
Mrkva;2021-01-19;https://web.archive.org/web/20210119181314/https://www.konzum.hr/web/products/mrkva;6,99 kn;0.93 €
Mrkva;2021-09-23;https://web.archive.org/web/20210923210048/https://www.konzum.hr/web/products/mrkva;6,99 kn;0.93 €
Mrkva;2022-05-19;https://web.archive.org/web/20220519052829/https://www.konzum.hr/web/products/mrkva;6,99 kn;0.93 €
Mrkva;2022-09-25;https://web.archive.org/web/20220925235650/https://www.konzum.hr/web/products/mrkva;7,99 kn;1.06 €
Mrkva;2023-02-05;https://web.archive.org/web/20230205075137/https://www.konzum.hr/web/products/mrkva;0,89 €;0.89 €
Mrkva;2023-12-07;https://web.archive.org/web/20231207101604/https://www.konzum.hr/web/products/mrkva;0,89 €;0.89 €
Mrkva;2024-06-17;https://web.archive.org/web/20240617133906/https://www.konzum.hr/web/products/mrkva;0,89 €;0.89 €
Mrkva;2024-11-15;https://web.archive.org/web/20241115002622/https://www.konzum.hr/web/products/mrkva;0,89 €;0.89 €
Mrkva;2025-01-31;https://web.archive.org/web/20250131031040/https://www.konzum.hr/web/products/mrkva;0,89 €;0.89 €
Mrkva;2025-02-06;https://web.archive.org/web/20250206130943/https://www.konzum.hr/web/products/mrkva;0,89 €;0.89 €
Mrkva;2025-02-12;https://web.archive.org/web/20250212161846/https://www.konzum.hr/web/products/mrkva;0,89 €;0.89 €
