Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Ledo Oslić filet panirani 400 g;2021-01-19;https://web.archive.org/web/20210119115211/https://www.konzum.hr/web/products/ledo-oslic-filet-panirani-400-g;24,99 kn;3.32 €
Ledo Oslić filet panirani 400 g;2021-08-04;https://web.archive.org/web/20210804191651/https://www.konzum.hr/web/products/ledo-oslic-filet-panirani-400-g;24,99 kn;3.32 €
Ledo Oslić filet panirani 400 g;2022-05-18;https://web.archive.org/web/20220518001409/https://www.konzum.hr/web/products/ledo-oslic-filet-panirani-400-g;29,99 kn;3.98 €
Ledo Oslić filet panirani 400 g;2022-09-30;https://web.archive.org/web/20220930192832/https://www.konzum.hr/web/products/ledo-oslic-filet-panirani-400-g;34,99 kn;4.64 €
Ledo Oslić filet panirani 400 g;2023-02-03;https://web.archive.org/web/20230203035729/https://www.konzum.hr/web/products/ledo-oslic-filet-panirani-400-g;5,04 €;5.04 €
Ledo Oslić filet panirani 400 g;2023-05-11;https://web.archive.org/web/20230511153639/https://www.konzum.hr/web/products/ledo-oslic-filet-panirani-400-g;5,04 €;5.04 €
Ledo Oslić filet panirani 400 g;2023-11-29;https://web.archive.org/web/20231129220135/https://www.konzum.hr/web/products/ledo-oslic-filet-panirani-400-g;4,99 €;4.99 €
Ledo Oslić filet panirani 400 g;2024-02-04;https://web.archive.org/web/20240204041528/https://www.konzum.hr/web/products/ledo-oslic-filet-panirani-400-g;5,49 €;5.49 €
Ledo Oslić filet panirani 400 g;2024-06-18;https://web.archive.org/web/20240618023950/https://www.konzum.hr/web/products/ledo-oslic-filet-panirani-400-g;5,49 €;5.49 €
Ledo Oslić filet panirani 400 g;2024-10-16;https://web.archive.org/web/20241016011400/https://www.konzum.hr/web/products/ledo-oslic-filet-panirani-400-g;5,49 €;5.49 €
Ledo Oslić filet panirani 400 g;2025-02-06;https://web.archive.org/web/20250206131950/https://www.konzum.hr/web/products/ledo-oslic-filet-panirani-400-g;5,99 €;5.99 €
