Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Ožujsko Svijetlo pivo 0,5 l;2020-09-29;https://web.archive.org/web/20200929044100/https://www.konzum.hr/web/products/ozujsko-svijetlo-pivo-0-5-l;6,99 kn;0.93 €
Ožujsko Svijetlo pivo 0,5 l;2021-07-29;https://web.archive.org/web/20210729020936/https://www.konzum.hr/web/products/ozujsko-svijetlo-pivo-0-5-l;7,19 kn;0.95 €
Ožujsko Svijetlo pivo 0,5 l;2022-05-18;https://web.archive.org/web/20220518191801/https://www.konzum.hr/web/products/ozujsko-svijetlo-pivo-0-5-l;7,39 kn;0.98 €
Ožujsko Svijetlo pivo 0,5 l;2022-09-28;https://web.archive.org/web/20220928121624/https://www.konzum.hr/web/products/ozujsko-svijetlo-pivo-0-5-l;7,59 kn;1.01 €
Ožujsko Svijetlo pivo 0,5 l;2023-02-08;https://web.archive.org/web/20230208194416/https://www.konzum.hr/web/products/ozujsko-svijetlo-pivo-0-5-l;1,01 €;1.01 €
Ožujsko Svijetlo pivo 0,5 l;2023-12-07;https://web.archive.org/web/20231207063749/https://www.konzum.hr/web/products/ozujsko-svijetlo-pivo-0-5-l;1,15 €;1.15 €
Ožujsko Svijetlo pivo 0,5 l;2024-04-06;https://web.archive.org/web/20240406062907/https://www.konzum.hr/web/products/ozujsko-svijetlo-pivo-0-5-l;1,15 €;1.15 €
Ožujsko Svijetlo pivo 0,5 l;2024-05-28;https://web.archive.org/web/20240528101356/https://www.konzum.hr/web/products/ozujsko-svijetlo-pivo-0-5-l;1,19 €;1.19 €
Ožujsko Svijetlo pivo 0,5 l;2024-09-11;https://web.archive.org/web/20240911093714/https://www.konzum.hr/web/products/ozujsko-svijetlo-pivo-0-5-l;1,19 €;1.19 €
Ožujsko Svijetlo pivo 0,5 l;2024-12-14;https://web.archive.org/web/20241214125609/https://www.konzum.hr/web/products/ozujsko-svijetlo-pivo-0-5-l;1,19 €;1.19 €
Ožujsko Svijetlo pivo 0,5 l;2025-02-15;https://web.archive.org/web/20250215164534/https://www.konzum.hr/web/products/ozujsko-svijetlo-pivo-0-5-l;1,19 €;1.19 €
