Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Salata kristal;2020-09-26;https://web.archive.org/web/20200926001145/https://www.konzum.hr/web/products/salata-kristal;5,99 kn;0.80 €
Salata kristal;2021-07-26;https://web.archive.org/web/20210726165646/https://www.konzum.hr/web/products/salata-kristal;4,99 kn;0.66 €
Salata kristal;2021-11-28;https://web.archive.org/web/20211128085054/https://www.konzum.hr/web/products/salata-kristal;4,99 kn;0.66 €
Salata kristal;2022-07-07;https://web.archive.org/web/20220707074529/https://www.konzum.hr/web/products/salata-kristal;5,99 kn;0.80 €
Salata kristal;2022-11-30;https://web.archive.org/web/20221130140932/https://www.konzum.hr/web/products/salata-kristal;5,99 kn;0.80 €
Salata kristal;2023-11-29;https://web.archive.org/web/20231129085156/https://www.konzum.hr/web/products/salata-kristal;1,19 €;1.19 €
Salata kristal;2024-06-15;https://web.archive.org/web/20240615203118/https://www.konzum.hr/web/products/salata-kristal;0,69 €;0.69 €
Salata kristal;2024-09-12;https://web.archive.org/web/20240912162719/https://www.konzum.hr/web/products/salata-kristal;0,99 €;0.99 €
Salata kristal;2024-12-02;https://web.archive.org/web/20241202232625/https://www.konzum.hr/web/products/salata-kristal;0,99 €;0.99 €
Salata kristal;2025-03-13;https://web.archive.org/web/20250313020539/https://www.konzum.hr/web/products/salata-kristal;0,89 €;0.89 €
