Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Tuzla kamena sol 1 kg;2020-08-10;https://web.archive.org/web/20200810031334/https://www.konzum.hr/web/products/tuzla-kamena-sol-1-kg;4,19 kn;0.56 €
Tuzla kamena sol 1 kg;2021-01-23;https://web.archive.org/web/20210123025241/https://www.konzum.hr/web/products/tuzla-kamena-sol-1-kg;4,19 kn;0.56 €
Tuzla Kamena sol 1 kg;2022-06-25;https://web.archive.org/web/20220625204344/https://www.konzum.hr/web/products/tuzla-kamena-sol-1-kg;4,49 kn;0.60 €
Tuzla Kamena sol 1 kg;2022-10-06;https://web.archive.org/web/20221006050817/https://www.konzum.hr/web/products/tuzla-kamena-sol-1-kg;5,69 kn;0.76 €
Tuzla Kamena sol 1 kg;2023-02-02;https://web.archive.org/web/20230202153838/https://www.konzum.hr/web/products/tuzla-kamena-sol-1-kg;0,76 €;0.76 €
Tuzla Kamena sol 1 kg;2023-12-05;https://web.archive.org/web/20231205125436/https://www.konzum.hr/web/products/tuzla-kamena-sol-1-kg;0,76 €;0.76 €
Tuzla Kamena sol 1 kg;2024-05-23;https://web.archive.org/web/20240523070425/https://www.konzum.hr/web/products/tuzla-kamena-sol-1-kg;0,76 €;0.76 €
Tuzla Kamena sol 1 kg;2024-09-09;https://web.archive.org/web/20240909212224/https://www.konzum.hr/web/products/tuzla-kamena-sol-1-kg;0,76 €;0.76 €
Tuzla Kamena sol 1 kg;2024-10-04;https://web.archive.org/web/20241004220753/https://www.konzum.hr/web/products/tuzla-kamena-sol-1-kg;0,76 €;0.76 €
Tuzla Kamena sol 1 kg;2025-02-11;https://web.archive.org/web/20250211064147/https://www.konzum.hr/web/products/tuzla-kamena-sol-1-kg;0,76 €;0.76 €
