Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Jamnica Gazirana prirodna mineralna voda 1,5 l;2020-09-20;https://web.archive.org/web/20200920120908/https://www.konzum.hr/web/products/jamnica-gazirana-prirodna-mineralna-voda-1-5-l;5,99 kn;0.80 €
Jamnica Gazirana prirodna mineralna voda 1,5 l;2021-01-23;https://web.archive.org/web/20210123020916/https://www.konzum.hr/web/products/jamnica-gazirana-prirodna-mineralna-voda-1-5-l;5,99 kn;0.80 €
Jamnica Gazirana prirodna mineralna voda 1,5 l;2021-08-04;https://web.archive.org/web/20210804192642/https://www.konzum.hr/web/products/jamnica-gazirana-prirodna-mineralna-voda-1-5-l;5,99 kn;0.80 €
Jamnica Gazirana prirodna mineralna voda 1,5 l;2021-12-08;https://web.archive.org/web/20211208035714/https://www.konzum.hr/web/products/jamnica-gazirana-prirodna-mineralna-voda-1-5-l;5,99 kn;0.80 €
Jamnica Gazirana prirodna mineralna voda 1,5 l;2022-07-01;https://web.archive.org/web/20220701232030/https://www.konzum.hr/web/products/jamnica-gazirana-prirodna-mineralna-voda-1-5-l;6,49 kn;0.86 €
Jamnica Gazirana prirodna mineralna voda 1,5 l;2022-12-02;https://web.archive.org/web/20221202131946/https://www.konzum.hr/web/products/jamnica-gazirana-prirodna-mineralna-voda-1-5-l;6,49 kn;0.86 €
Jamnica Gazirana prirodna mineralna voda 1,5 l;2023-06-07;https://web.archive.org/web/20230607060143/https://www.konzum.hr/web/products/jamnica-gazirana-prirodna-mineralna-voda-1-5-l;0,93 €;0.93 €
Jamnica Gazirana prirodna mineralna voda 1,5 l;2023-12-02;https://web.archive.org/web/20231202121758/https://www.konzum.hr/web/products/jamnica-gazirana-prirodna-mineralna-voda-1-5-l;0,93 €;0.93 €
Jamnica Gazirana prirodna mineralna voda 1,5 l;2024-06-22;https://web.archive.org/web/20240622032641/https://www.konzum.hr/web/products/jamnica-gazirana-prirodna-mineralna-voda-1-5-l;0,99 €;0.99 €
Jamnica Gazirana prirodna mineralna voda 1,5 l;2024-10-04;https://web.archive.org/web/20241004211959/https://www.konzum.hr/web/products/jamnica-gazirana-prirodna-mineralna-voda-1-5-l;0,99 €;0.99 €
Jamnica Gazirana prirodna mineralna voda 1,5 l;2025-02-06;https://web.archive.org/web/20250206225511/https://www.konzum.hr/web/products/jamnica-gazirana-prirodna-mineralna-voda-1-5-l;0,99 €;0.99 €
Jamnica Gazirana prirodna mineralna voda 1,5 l;2025-02-17;https://web.archive.org/web/20250217083430/https://www.konzum.hr/web/products/jamnica-gazirana-prirodna-mineralna-voda-1-5-l;0,99 €;0.99 €
