Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Coca Cola 500 ml;2021-09-23;https://web.archive.org/web/20210923075743/https://www.konzum.hr/web/products/coca-cola-500-ml;6,69 kn;0.89 €
Coca Cola 500 ml;2022-05-19;https://web.archive.org/web/20220519043446/https://www.konzum.hr/web/products/coca-cola-500-ml;6,89 kn;0.91 €
Coca Cola 500 ml;2022-10-01;https://web.archive.org/web/20221001165532/https://www.konzum.hr/web/products/coca-cola-500-ml;7,09 kn;0.94 €
Coca Cola 500 ml;2023-01-29;https://web.archive.org/web/20230129113705/https://www.konzum.hr/web/products/coca-cola-500-ml;0,99 €;0.99 €
Coca Cola 500 ml;2023-06-02;https://web.archive.org/web/20230602105845/https://www.konzum.hr/web/products/coca-cola-500-ml;1,05 €;1.05 €
Coca Cola 500 ml;2024-03-01;https://web.archive.org/web/20240301230813/https://www.konzum.hr/web/products/coca-cola-500-ml;1,05 €;1.05 €
Coca Cola 500 ml;2024-06-16;https://web.archive.org/web/20240616235828/https://www.konzum.hr/web/products/coca-cola-500-ml;1,05 €;1.05 €
Coca Cola 500 ml;2024-09-11;https://web.archive.org/web/20240911090510/https://www.konzum.hr/web/products/coca-cola-500-ml;1,05 €;1.05 €
Coca Cola 500 ml;2024-12-02;https://web.archive.org/web/20241202065518/https://www.konzum.hr/web/products/coca-cola-500-ml;1,05 €;1.05 €
Coca Cola 500 ml;2025-02-24;https://web.archive.org/web/20250224120646/https://www.konzum.hr/web/products/coca-cola-500-ml;1,15 €;1.15 €
