Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Lino Čokolino Žitna kašica 1 kg;2020-08-10;https://web.archive.org/web/20200810025301/https://www.konzum.hr/web/products/lino-cokolino-zitna-kasica-1-kg;49,99 kn;6.63 €
Lino Čokolino Žitna kašica 1 kg;2021-01-27;https://web.archive.org/web/20210127043203/https://www.konzum.hr/web/products/lino-cokolino-zitna-kasica-1-kg;49,99 kn;6.63 €
Lino Čokolino Žitna kašica 1 kg;2021-11-28;https://web.archive.org/web/20211128091918/https://www.konzum.hr/web/products/lino-cokolino-zitna-kasica-1-kg;52,99 kn;7.03 €
Lino Čokolino Žitna kašica 1 kg;2022-07-04;https://web.archive.org/web/20220704124841/https://www.konzum.hr/web/products/lino-cokolino-zitna-kasica-1-kg;52,99 kn;7.03 €
Čokolino Žitna kašica 1 kg;2022-12-07;https://web.archive.org/web/20221207040825/https://www.konzum.hr/web/products/lino-cokolino-zitna-kasica-1-kg;52,99 kn;7.03 €
Čokolino Žitna kašica 1 kg;2023-06-07;https://web.archive.org/web/20230607062639/https://www.konzum.hr/web/products/lino-cokolino-zitna-kasica-1-kg;7,19 €;7.19 €
Čokolino Žitna kašica 1 kg;2024-03-03;https://web.archive.org/web/20240303132459/https://www.konzum.hr/web/products/lino-cokolino-zitna-kasica-1-kg;7,19 €;7.19 €
Čokolino Žitna kašica 1 kg;2024-06-25;https://web.archive.org/web/20240625030655/https://www.konzum.hr/web/products/lino-cokolino-zitna-kasica-1-kg;7,49 €;7.49 €
Čokolino Žitna kašica 1 kg;2024-11-05;https://web.archive.org/web/20241105134050/https://www.konzum.hr/web/products/lino-cokolino-zitna-kasica-1-kg;7,49 €;7.49 €
Čokolino Žitna kašica 1 kg;2025-02-05;https://web.archive.org/web/20250205155036/https://www.konzum.hr/web/products/lino-cokolino-zitna-kasica-1-kg;8,99 €;8.99 €
Čokolino Žitna kašica 1 kg;2025-03-13;https://web.archive.org/web/20250313015627/https://www.konzum.hr/web/products/lino-cokolino-zitna-kasica-1-kg;8,99 €;8.99 €
