Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Nestlé Corn Flakes Kukuruzne pahuljice 500 g;2020-08-10;https://web.archive.org/web/20200810031749/https://www.konzum.hr/web/products/nestle-cornflakes-500-g;19,99 kn;2.65 €
Nestlé Corn Flakes Kukuruzne pahuljice 500 g;2021-01-27;https://web.archive.org/web/20210127045935/https://www.konzum.hr/web/products/nestle-cornflakes-500-g;19,99 kn;2.65 €
Nestlé Corn Flakes Kukuruzne pahuljice 500 g;2022-01-21;https://web.archive.org/web/20220121121336/https://www.konzum.hr/web/products/nestle-cornflakes-500-g;19,99 kn;2.65 €
Nestlé Corn Flakes Kukuruzne pahuljice 500 g;2022-07-06;https://web.archive.org/web/20220706045450/https://www.konzum.hr/web/products/nestle-cornflakes-500-g;23,49 kn;3.12 €
Nestlé Corn Flakes Kukuruzne pahuljice 500 g;2022-11-28;https://web.archive.org/web/20221128092442/https://www.konzum.hr/web/products/nestle-cornflakes-500-g;24,99 kn;3.32 €
Nestlé Corn Flakes Kukuruzne pahuljice 500 g;2023-06-07;https://web.archive.org/web/20230607064904/https://www.konzum.hr/web/products/nestle-cornflakes-500-g;3,99 €;3.99 €
Nestlé Corn Flakes Kukuruzne pahuljice 500 g;2023-12-04;https://web.archive.org/web/20231204171841/https://www.konzum.hr/web/products/nestle-cornflakes-500-g;3,99 €;3.99 €
Nestlé Corn Flakes Kukuruzne pahuljice 500 g;2024-05-24;https://web.archive.org/web/20240524173705/https://www.konzum.hr/web/products/nestle-cornflakes-500-g;3,99 €;3.99 €
Nestlé Corn Flakes Kukuruzne pahuljice 500 g;2024-10-12;https://web.archive.org/web/20241012103717/https://www.konzum.hr/web/products/nestle-cornflakes-500-g;3,99 €;3.99 €
Nestlé Corn Flakes Kukuruzne pahuljice 500 g;2025-02-07;https://web.archive.org/web/20250207120837/https://www.konzum.hr/web/products/nestle-cornflakes-500-g;3,99 €;3.99 €
Nestlé Corn Flakes Kukuruzne pahuljice 500 g;2025-02-18;https://web.archive.org/web/20250218234517/https://www.konzum.hr/web/products/nestle-cornflakes-500-g;3,99 €;3.99 €
Nestlé Corn Flakes Kukuruzne pahuljice 500 g;2025-03-04;https://web.archive.org/web/20250304083136/https://www.konzum.hr/web/products/nestle-cornflakes-500-g;3,99 €;3.99 €
