Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
K Plus Svježa jaja A klasa, razred M 10/1;2021-01-20;https://web.archive.org/web/20210120034132/https://www.konzum.hr/web/products/k-plus-svjeza-jaja-a-klasa-razred-m-10-1;1.52 €;1.52 €
K Plus Svježa jaja A klasa, razred M 10/1;2021-05-06;https://web.archive.org/web/20210506183356/https://www.konzum.hr/web/products/k-plus-svjeza-jaja-a-klasa-razred-m-10-1;1.52 €;1.52 €
K Plus Svježa jaja A klasa, razred M 10/1;2021-09-23;https://web.archive.org/web/20210923210713/https://www.konzum.hr/web/products/k-plus-svjeza-jaja-a-klasa-razred-m-10-1;1.52 €;1.52 €
K Plus Svježa jaja A klasa, razred M 10/1;2022-05-19;https://web.archive.org/web/20220519053542/https://www.konzum.hr/web/products/k-plus-svjeza-jaja-a-klasa-razred-m-10-1;1.96 €;1.96 €
K Plus Svježa jaja A klasa, razred M 10/1;2022-09-26;https://web.archive.org/web/20220926000221/https://www.konzum.hr/web/products/k-plus-svjeza-jaja-a-klasa-razred-m-10-1;2.18 €;2.18 €
K Plus Svježa jaja A klasa, razred M 10/1;2023-01-12;https://web.archive.org/web/20230112120648/https://www.konzum.hr/web/products/k-plus-svjeza-jaja-a-klasa-razred-m-10-1;2.85 €;2.85 €
K Plus Svježa jaja A klasa, razred M 10/1;2023-01-29;https://web.archive.org/web/20230129091947/https://www.konzum.hr/web/products/k-plus-svjeza-jaja-a-klasa-razred-m-10-1;2.85 €;2.85 €
K Plus Svježa jaja A klasa, razred M 10/1;2023-06-07;https://web.archive.org/web/20230607023701/https://www.konzum.hr/web/products/k-plus-svjeza-jaja-a-klasa-razred-m-10-1;2.52 €;2.52 €
K Plus Svježa jaja A klasa, razred M 10/1;2023-11-30;https://web.archive.org/web/20231130141658/https://www.konzum.hr/web/products/k-plus-svjeza-jaja-a-klasa-razred-m-10-1;2.45 €;2.45 €
K Plus Svježa jaja A klasa, razred M 10/1;2023-12-09;https://web.archive.org/web/20231209090048/https://www.konzum.hr/web/products/k-plus-svjeza-jaja-a-klasa-razred-m-10-1;2.45 €;2.45 €
K Plus Svježa jaja A klasa, razred M 10/1;2024-01-17;https://web.archive.org/web/20240117202111/https://www.konzum.hr/web/products/k-plus-svjeza-jaja-a-klasa-razred-m-10-1;2.45 €;2.45 €
K Plus Svježa jaja A klasa, razred M 10/1;2024-05-24;https://web.archive.org/web/20240524164137/https://www.konzum.hr/web/products/k-plus-svjeza-jaja-a-klasa-razred-m-10-1;2.39 €;2.39 €
K Plus Svježa jaja A klasa, razred M 10/1;2024-08-11;https://web.archive.org/web/20240811054656/https://www.konzum.hr/web/products/k-plus-svjeza-jaja-a-klasa-razred-m-10-1;2.39 €;2.39 €
K Plus Svježa jaja A klasa, razred M 10/1;2024-11-30;https://web.archive.org/web/20241130153841/https://www.konzum.hr/web/products/k-plus-svjeza-jaja-a-klasa-razred-m-10-1;2.39 €;2.39 €
K Plus Svježa jaja A klasa, razred M 10/1;2024-12-02;https://web.archive.org/web/20241202105934/https://www.konzum.hr/web/products/k-plus-svjeza-jaja-a-klasa-razred-m-10-1;2.39 €;2.39 €
