Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Franck Jubilarna kava 250 g;2021-01-20;https://web.archive.org/web/20210120032155/https://www.konzum.hr/web/products/franck-jubilarna-exclusive-kava-250-g;19,99 kn;2.65 €
Franck Jubilarna kava 250 g;2021-08-04;https://web.archive.org/web/20210804184119/https://www.konzum.hr/web/products/franck-jubilarna-exclusive-kava-250-g;19,99 kn;2.65 €
Franck Jubilarna kava 250 g;2022-05-17;https://web.archive.org/web/20220517235047/https://www.konzum.hr/web/products/franck-jubilarna-exclusive-kava-250-g;22,99 kn;3.05 €
Franck Jubilarna kava 250 g;2022-10-04;https://web.archive.org/web/20221004224705/https://www.konzum.hr/web/products/franck-jubilarna-exclusive-kava-250-g;24,99 kn;3.32 €
Franck Jubilarna kava 250 g;2023-02-08;https://web.archive.org/web/20230208132340/https://www.konzum.hr/web/products/franck-jubilarna-exclusive-kava-250-g;3,32 €;3.32 €
Franck Jubilarna kava 250 g;2023-12-03;https://web.archive.org/web/20231203234454/https://www.konzum.hr/web/products/franck-jubilarna-exclusive-kava-250-g;3,59 €;3.59 €
Franck Jubilarna kava 250 g;2024-01-21;https://web.archive.org/web/20240121103901/https://www.konzum.hr/web/products/franck-jubilarna-exclusive-kava-250-g;3,59 €;3.59 €
Franck Jubilarna kava 250 g;2024-04-24;https://web.archive.org/web/20240424152602/https://www.konzum.hr/web/products/franck-jubilarna-exclusive-kava-250-g;3,59 €;3.59 €
Franck Jubilarna kava 250 g;2024-08-11;https://web.archive.org/web/20240811052942/https://www.konzum.hr/web/products/franck-jubilarna-exclusive-kava-250-g;3,89 €;3.89 €
Franck Jubilarna Mljevena kava 250 g;2024-12-02;https://web.archive.org/web/20241202230649/https://www.konzum.hr/web/products/franck-jubilarna-exclusive-kava-250-g;4,49 €;4.49 €
Franck Jubilarna Mljevena kava 250 g;2025-03-13;https://web.archive.org/web/20250313014740/https://www.konzum.hr/web/products/franck-jubilarna-exclusive-kava-250-g;4,49 €;4.49 €
