Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
K Plus Riža bijela dugo zrno 1 kg;2020-09-20;https://web.archive.org/web/20200920210645/https://www.konzum.hr/web/products/k-plus-riza-bijela-dugo-zrno-1-kg;9,99 kn;1.33 €
K Plus Riža 1 kg;2022-03-01;https://web.archive.org/web/20220301133024/https://www.konzum.hr/web/products/k-plus-riza-bijela-dugo-zrno-1-kg;11,49 kn;1.52 €
K Plus Riža 1 kg;2022-05-17;https://web.archive.org/web/20220517041059/https://www.konzum.hr/web/products/k-plus-riza-bijela-dugo-zrno-1-kg;11,49 kn;1.52 €
K Plus Riža 1 kg;2022-10-05;https://web.archive.org/web/20221005114826/https://www.konzum.hr/web/products/k-plus-riza-bijela-dugo-zrno-1-kg;13,99 kn;1.86 €
K Plus Riža 1 kg;2023-02-08;https://web.archive.org/web/20230208132715/https://www.konzum.hr/web/products/k-plus-riza-bijela-dugo-zrno-1-kg;1,99 €;1.99 €
K Plus Riža 1 kg;2023-09-30;https://web.archive.org/web/20230930223732/https://www.konzum.hr/web/products/k-plus-riza-bijela-dugo-zrno-1-kg;1,99 €;1.99 €
K Plus Riža 1 kg;2024-03-01;https://web.archive.org/web/20240301203935/https://www.konzum.hr/web/products/k-plus-riza-bijela-dugo-zrno-1-kg;1,99 €;1.99 €
K Plus Riža 1 kg;2024-06-19;https://web.archive.org/web/20240619035306/https://www.konzum.hr/web/products/k-plus-riza-bijela-dugo-zrno-1-kg;1,99 €;1.99 €
K Plus Riža 1 kg;2024-09-16;https://web.archive.org/web/20240916071302/https://www.konzum.hr/web/products/k-plus-riza-bijela-dugo-zrno-1-kg;1,99 €;1.99 €
K Plus Riža 1 kg;2024-11-05;https://web.archive.org/web/20241105123532/https://www.konzum.hr/web/products/k-plus-riza-bijela-dugo-zrno-1-kg;1,99 €;1.99 €
K Plus Riža 1 kg;2025-02-11;https://web.archive.org/web/20250211094204/https://www.konzum.hr/web/products/k-plus-riza-bijela-dugo-zrno-1-kg;1,99 €;1.99 €
K Plus Riža 1 kg;2025-03-19;https://web.archive.org/web/20250319121829/https://www.konzum.hr/web/products/k-plus-riza-bijela-dugo-zrno-1-kg;1,99 €;1.99 €
