Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Poli classic 500 g;2021-06-22;https://web.archive.org/web/20210622232647/https://www.konzum.hr/web/products/poli-classic-500-g;26,99 kn;3.58 €
Poli classic 500 g;2021-11-28;https://web.archive.org/web/20211128084342/https://www.konzum.hr/web/products/poli-classic-500-g;26,99 kn;3.58 €
Poli Classic 500 g;2022-03-22;https://web.archive.org/web/20220322201350/https://www.konzum.hr/web/products/poli-classic-500-g;26,99 kn;3.58 €
Poli Classic 500 g;2022-07-07;https://web.archive.org/web/20220707073600/https://www.konzum.hr/web/products/poli-classic-500-g;29,99 kn;3.98 €
Poli Classic 500 g;2022-11-27;https://web.archive.org/web/20221127185007/https://www.konzum.hr/web/products/poli-classic-500-g;29,99 kn;3.98 €
Poli Classic 500 g;2023-06-01;https://web.archive.org/web/20230601054229/https://www.konzum.hr/web/products/poli-classic-500-g;4,25 €;4.25 €
Poli Classic 500 g;2023-11-28;https://web.archive.org/web/20231128095804/https://www.konzum.hr/web/products/poli-classic-500-g;4,25 €;4.25 €
Poli Classic 500 g;2024-05-23;https://web.archive.org/web/20240523060734/https://www.konzum.hr/web/products/poli-classic-500-g;4,25 €;4.25 €
Poli Classic 500 g;2024-10-07;https://web.archive.org/web/20241007234113/https://www.konzum.hr/web/products/poli-classic-500-g;4,25 €;4.25 €
Poli Classic 500 g;2024-12-11;https://web.archive.org/web/20241211190737/https://www.konzum.hr/web/products/poli-classic-500-g;4,25 €;4.25 €
