Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Zdenka Classic topljeni sir 140 g;2021-06-25;https://web.archive.org/web/20210625045140/https://www.konzum.hr/web/products/zdenka-classic-topljeni-sir-140-g;10,99 kn;1.46 €
Zdenka Classic topljeni sir 140 g;2021-11-28;https://web.archive.org/web/20211128093826/https://www.konzum.hr/web/products/zdenka-classic-topljeni-sir-140-g;11,99 kn;1.59 €
Zdenka Classic Topljeni sir 140 g;2022-07-04;https://web.archive.org/web/20220704130537/https://www.konzum.hr/web/products/zdenka-classic-topljeni-sir-140-g;12,99 kn;1.72 €
Zdenka Classic Topljeni sir 140 g;2022-12-07;https://web.archive.org/web/20221207042829/https://www.konzum.hr/web/products/zdenka-classic-topljeni-sir-140-g;15,49 kn;2.06 €
Zdenka Classic Topljeni sir 140 g;2023-03-31;https://web.archive.org/web/20230331200335/https://www.konzum.hr/web/products/zdenka-classic-topljeni-sir-140-g;1,99 €;1.99 €
Zdenka Classic Topljeni sir 140 g;2023-12-04;https://web.archive.org/web/20231204171650/https://www.konzum.hr/web/products/zdenka-classic-topljeni-sir-140-g;1,99 €;1.99 €
Zdenka Classic Topljeni sir 140 g;2024-01-17;https://web.archive.org/web/20240117202035/https://www.konzum.hr/web/products/zdenka-classic-topljeni-sir-140-g;1,99 €;1.99 €
Zdenka Classic Topljeni sir 140 g;2024-04-12;https://web.archive.org/web/20240412183818/https://www.konzum.hr/web/products/zdenka-classic-topljeni-sir-140-g;1,99 €;1.99 €
Zdenka Classic Topljeni sir 140 g;2024-08-11;https://web.archive.org/web/20240811002134/https://www.konzum.hr/web/products/zdenka-classic-topljeni-sir-140-g;2,09 €;2.09 €
Zdenka Classic Topljeni sir 140 g;2024-12-05;https://web.archive.org/web/20241205045155/https://www.konzum.hr/web/products/zdenka-classic-topljeni-sir-140-g;2,09 €;2.09 €
Zdenka Classic Topljeni sir 140 g;2025-02-14;https://web.archive.org/web/20250214090334/https://www.konzum.hr/web/products/zdenka-classic-topljeni-sir-140-g;2,25 €;2.25 €
