Proizvod;Datum;Snapshot URL;Cijena (€);Cijena konvertirana (€)
Toast classic K Plus 500 g;2020-08-10;https://web.archive.org/web/20200810025656/https://www.konzum.hr/web/products/toast-classic-k-plus-500-g;6,99 kn;0.93 €
Toast classic K Plus 500 g;2021-05-05;https://web.archive.org/web/20210505223052/https://www.konzum.hr/web/products/toast-classic-k-plus-500-g;6,99 kn;0.93 €
Toast classic K Plus 500 g;2021-07-24;https://web.archive.org/web/20210724211839/https://www.konzum.hr/web/products/toast-classic-k-plus-500-g;6,99 kn;0.93 €
K Plus Toast classic 500 g;2022-05-20;https://web.archive.org/web/20220520210559/https://www.konzum.hr/web/products/toast-classic-k-plus-500-g;9,29 kn;1.23 €
K Plus Toast classic 500 g;2022-10-02;https://web.archive.org/web/20221002010156/https://www.konzum.hr/web/products/toast-classic-k-plus-500-g;9,29 kn;1.23 €
K Plus Toast classic 500 g;2023-01-30;https://web.archive.org/web/20230130021817/https://www.konzum.hr/web/products/toast-classic-k-plus-500-g;1,23 €;1.23 €
K Plus Toast classic 500 g;2023-06-02;https://web.archive.org/web/20230602124732/https://www.konzum.hr/web/products/toast-classic-k-plus-500-g;1,29 €;1.29 €
K Plus Toast classic 500 g;2023-12-04;https://web.archive.org/web/20231204003750/https://www.konzum.hr/web/products/toast-classic-k-plus-500-g;1,25 €;1.25 €
K Plus Toast classic 500 g;2024-02-24;https://web.archive.org/web/20240224154854/https://www.konzum.hr/web/products/toast-classic-k-plus-500-g;1,25 €;1.25 €
K Plus Toast classic 500 g;2024-05-28;https://web.archive.org/web/20240528112746/https://www.konzum.hr/web/products/toast-classic-k-plus-500-g;0,99 €;0.99 €
K Plus Toast classic 500 g;2024-10-05;https://web.archive.org/web/20241005101833/https://www.konzum.hr/web/products/toast-classic-k-plus-500-g;0,99 €;0.99 €
K Plus Toast classic 500 g;2024-11-30;https://web.archive.org/web/20241130165309/https://www.konzum.hr/web/products/toast-classic-k-plus-500-g;0,99 €;0.99 €
K Plus Toast classic 500 g;2025-03-14;https://web.archive.org/web/20250314130813/https://www.konzum.hr/web/products/toast-classic-k-plus-500-g;0,99 €;0.99 €
